                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71687,                    0.5,                      1,                0.71631,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                0.67624,                   0.55,                      1,                0.67871,             4.7506e-05,             4.7506e-05,             4.7506e-05
                      3,                0.64734,                    0.7,                      1,                0.61914,             7.0765e-05,             7.0765e-05,             7.0765e-05
                      4,                0.57642,                      1,                      1,                0.55762,             9.1196e-05,             9.1196e-05,             9.1196e-05
                      5,                0.49295,                      1,                      1,                0.52637,              0.0001088,              0.0001088,              0.0001088
                      6,                0.43606,                      1,                      1,                0.48975,             0.00012358,             0.00012358,             0.00012358
                      7,                0.40472,                      1,                      1,                0.45752,             0.00013552,             0.00013552,             0.00013552
                      8,                0.36267,                      1,                      1,                 0.4292,             0.00014465,             0.00014465,             0.00014465
                      9,                0.30188,                      1,                      1,                0.40186,             0.00015094,             0.00015094,             0.00015094
                     10,                 0.2853,                      1,                      1,                0.37915,             0.00015441,             0.00015441,             0.00015441
                     11,                0.20813,                      1,                      1,                0.36353,             0.00015505,             0.00015505,             0.00015505
                     12,                0.17576,                      1,                      1,                0.35107,             0.00015286,             0.00015286,             0.00015286
                     13,                0.15901,                      1,                      1,                0.34082,             0.00014784,             0.00014784,             0.00014784
                     14,                0.15126,                      1,                      1,                 0.3374,                0.00014,                0.00014,                0.00014
                     15,                 0.1919,                      1,                      1,                0.33228,             0.00012933,             0.00012933,             0.00012933
                     16,                 0.1147,                      1,                      1,                0.33008,             0.00011583,             0.00011583,             0.00011583
                     17,                0.14703,                      1,                      1,                0.32886,             9.9503e-05,             9.9503e-05,             9.9503e-05
                     18,                0.10435,                      1,                      1,                0.32617,              8.035e-05,              8.035e-05,              8.035e-05
                     19,                0.09035,                      1,                      1,                0.32617,             5.8369e-05,             5.8369e-05,             5.8369e-05
                     20,                0.12273,                      1,                      1,                0.32568,             3.3562e-05,             3.3562e-05,             3.3562e-05
